Typhoon,Station1,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time,href,Station2,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time,Station3,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time,Station4,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time,Station5,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time,Station6,Maximum sea level(above chart datum),Date Time,Maximum storm surge(above astronomical tide),Date Time
Severe Tropical Storm Agnes(1) ( Jul 1978 ),Tai Po Kau,2.67,26/7/1978 15:00,1.22,26/7/1978 15:00,,North Point,2.24,26/7/1978 13:45,0.64,26/7/1978 18:00,Chi Ma Wan,2.45,27/7/1978 3:15,0.88,26/7/1978 9:45,,,,,,,,,,,,,,,
Severe Tropical Storm Agnes(2) ( Jul 1978 ),Tai Po Kau,2.27,---,0.79,---,,North Point,2.17,---,0.43,---,Chi Ma Wan,2.3,---,0.69,---,,,,,,,,,,,,,,,
Tropical Storm Bonnie ( Aug 1978 ),Tai Po Kau,2.03,11/8/1978 2:00,0.54,11/8/1978 10:30,,North Point,1.93,11/8/1978 2:30,0.27,10/8/1978 22:15,Chi Ma Wan,2.14,11/8/1978 2:45,0.58,10/8/1978 9:30,,,,,,,,,,,,,,,
Severe Tropical Storm Elaine ( Aug 1978 ),Tai Po Kau,2.91,27/8/1978 5:00,1.15,27/8/1978 6:30,,North Point,2.76,27/8/1978 4:15,0.99,27/8/1978 8:30,Chi Ma Wan,3,27/8/1978 4:00,1.1,27/8/1978 4:00,,,,,,,,,,,,,,,
Severe Tropical Storm Kit ( Sep 1978 ),Tai Po Kau,2.42,25/9/1978 4:00,0.68,24/9/1978 15:00,,North Point,2.39,25/9/1978 2:30,0.56,24/9/1978 6:00,Chi Ma Wan,2.53,24/9/1978 2:30,0.58,24/9/1978 3:15,,,,,,,,,,,,,,,
Typhoon Lola ( Oct 1978 ),Tai Po Kau,2.58,1/10/1978 10:00,0.84,30/9/1978 10:00,,North Point,2.49,30/9/1978 7:45,0.5,30/9/1978 14:30,,,,,,,,,,,,,,,,,,,,
Severe Tropical Storm Nina ( Oct 1978 ),Tai Po Kau,2.88,16/10/1978 22:00,1.05,11/10/1978 7:00,,North Point,2.85,14/10/1978 8:15,0.79,14/10/1978 8:30,Chi Ma Wan,2.97,14/10/1978 7:52,1.01,13/10/1978 20:00,,,,,,,,,,,,,,,
Typhoon Rita ( Oct 1978 ),Tai Po Kau,2.36,29/10/1978 20:30,0.52,29/10/1978 7:30,,North Point,2.33,29/10/1978 20:15,0.48,29/10/1978 15:00,Chi Ma Wan,2.31,29/10/1978 8:15,0.54,29/10/1978 8:15,,,,,,,,,,,,,,,
Typhoon Ellis ( Jul 1979 ),Tai Po Kau,2.22,6/7/1979 5:00,0.87,5/7/1979 20:30,,North Point,2.26,6/7/1979 5:30,0.57,6/7/1979 2:00,Chi Ma Wan,2.39,6/7/1979 6:45,0.8,5/7/1979 20:45,,,,,,,,,,,,,,,
Severe Tropical Storm Gordon ( Jul 1979 ),Tai Po Kau,2.08,29/7/1979 13:30,0.48,30/7/1979 3:00,,North Point,2.15,29/7/1979 12:00,0.35,29/7/1979 14:15,Chi Ma Wan,2.25,29/7/1979 12:00,0.51,28/7/1979 20:30,,,,,,,,,,,,,,,
Typhoon  ( Aug 1979 )Hope,Tai Po Kau,4.33,2/8/1979 15:30,3.23,2/8/1979 15:30,https://www.hko.gov.hk/en/informtc/no10/hope/hope.htm,North Point,2.78,2/8/1979 15:07,1.45,2/8/1979 15:15,Chi Ma Wan,2.73,2/8/1979 14:45,1.54,2/8/1979 14:45,,,,,,,,,,,,,,,
Tropical Depression No name ( Aug 1979 ),Tai Po Kau,2.58,9/8/1979 7:30,0.57,7/8/1979 12:00,,North Point,2.67,9/8/1979 9:15,0.39,9/8/1979 7:15,Chi Ma Wan,2.87,9/8/1979 8:07,0.55,9/8/1979 7:30,,,,,,,,,,,,,,,
Severe Tropical Storm Nancy ( Sep 1979 ),Tai Po Kau,2.38,20/9/1979 10:00,0.44,21/9/1979 13:00,,North Point,2.25,20/9/1979 8:30,0.29,20/9/1979 13:15,Chi Ma Wan,2.43,20/9/1979 8:30,0.48,20/9/1979 21:45,,,,,,,,,,,,,,,
Severe Tropical Storm Mac ( Sep 1979 ),Tai Po Kau,2.43,23/9/1979 12:00,0.78,23/9/1979 19:30,,Tsim Bei Tsui,2.43,---,0.78,---,North Point,2.32,23/9/1979 10:45,0.46,23/9/1979 19:30,Chi Ma Wan,2.58,23/9/1979 12:00,0.73,23/9/1979 14:15,,,,,,,,,,
Severe Tropical Storm Georgia ( May 1980 ),Tai Po Kau,1.87,23/5/1980 13:30,0.65,23/5/1980 18:00,,Tsim Bei Tsui,2.17,---,0.64,---,North Point,2.02,22/5/1980 13:15,0.7,23/5/1980 20:00,Chi Ma Wan,2.14,23/5/1980 14:30,0.74,23/5/1980 14:30,,,,,,,,,,
Severe Tropical Storm Herbert ( Jun 1980 ),Tai Po Kau,2.2,28/6/1980 7:30,0.38,28/6/1980 12:30,,Tsim Bei Tsui,2.79,---,0.27,---,North Point,2.28,28/6/1980 7:15,0.18,28/6/1980 18:45,Chi Ma Wan,2.46,28/6/1980 8:30,0.52,27/6/1980 19:00,,,,,,,,,,
Severe Tropical Storm Ida ( Jul 1980 ),Tai Po Kau,2.26,11/7/1980 8:30,0.75,11/7/1980 11:30,,Tsim Bei Tsui,2.8,---,0.58,---,North Point,2.41,11/7/1980 8:30,0.48,11/7/1980 11:45,Chi Ma Wan,2.36,12/7/1980 9:00,0.45,10/7/1980 21:30,,,,,,,,,,
Tropical Storm No name ( Jul 1980 ),Tai Po Kau,1.86,18/7/1980 11:00,0.47,18/7/1980 17:00,,Tsim Bei Tsui,2.12,---,0.37,---,North Point,1.89,18/7/1980 11:45,0.32,18/7/1980 14:45,Chi Ma Wan,2.1,18/7/1980 12:15,0.41,18/7/1980 23:45,,,,,,,,,,
Typhoon Joe ( Jul 1980 ),Tai Po Kau,2.28,22/7/1980 6:30,0.94,22/7/1980 14:00,,Tsim Bei Tsui,2.3,---,1.02,---,North Point,2.23,22/7/1980 6:15,0.89,22/7/1980 13:30,Chi Ma Wan,2.5,22/7/1980 16:30,1.07,22/7/1980 14:00,,,,,,,,,,
Typhoon Kim ( Jul 1980 ),Tai Po Kau,2.36,28/7/1980 8:00,0.73,27/7/1980 13:00,,Tsim Bei Tsui,2.9,---,0.79,---,North Point,2.53,27/7/1980 8:00,0.47,27/7/1980 12:15,Chi Ma Wan,2.66,27/7/1980 8:15,0.54,26/7/1980 22:45,,,,,,,,,,
Tropical Depression No name ( Aug 1980 ),Tai Po Kau,1.75,19/8/1980 0:30,0.39,18/8/1980 17:00,,Tsim Bei Tsui,2.26,---,0.39,---,North Point,1.88,19/8/1980 1:00,0.32,18/8/1980 15:45,Chi Ma Wan,2.02,19/8/1980 1:45,0.44,18/8/1980 15:15,,,,,,,,,,
Typhoon Ruth ( Sep 1980 ),Tai Po Kau,2.19,12/9/1980 12:30,0.6,13/9/1980 2:00,,Tsim Bei Tsui,2.53,---,0.46,---,North Point,2.2,13/9/1980 23:30,0.42,14/9/1980 21:15,Chi Ma Wan,2.36,13/9/1980 22:30,0.62,14/9/1980 3:45,,,,,,,,,,
Typhoon Percy ( Sep 1980 ),Tai Po Kau,2.46,19/9/1980 4:00,0.63,18/9/1980 3:00,,North Point,2.48,19/9/1980 4:00,0.45,18/9/1980 15:30,Chi Ma Wan,2.57,19/9/1980 4:15,0.65,18/9/1980 3:00,,,,,,,,,,,,,,,
Tropical Storm Cary ( Oct 1980 ),Tai Po Kau,2.43,30/10/1980 2:00,0.6,30/10/1980 14:30,,Tsim Bei Tsui,2.52,---,0.76,---,North Point,2.32,30/10/1980 1:15,0.63,31/10/1980 16:30,Chi Ma Wan,2.4,30/10/1980 1:30,0.82,31/10/1980 16:00,,,,,,,,,,
Severe Tropical Storm Ike ( Jun 1981 ),Tai Po Kau,2.16,13/6/1981 7:00,0.62,13/6/1981 21:00,,North Point,2.18,13/6/1981 7:30,0.52,13/6/1981 12:45,Chi Ma Wan,2.3,12/6/1981 7:15,0.63,12/6/1981 8:00,,,,,,,,,,,,,,,
Typhoon Kelly ( Jul 1981 ),Tai Po Kau,2.62,3/7/1981 8:00,0.65,4/7/1981 15:00,,Tsim Bei Tsui,3.16,---,---,---,North Point,2.62,3/7/1981 8:45,0.51,3/7/1981 13:30,Chi Ma Wan,2.83,3/7/1981 9:40,0.83,3/7/1981 6:00,,,,,,,,,,
Severe Tropical Storm Lynn ( Jul 1981 ),Tai Po Kau,2.56,6/7/1981 11:00,1.15,6/7/1981 15:30,,North Point,2.62,6/7/1981 12:30,0.78,6/7/1981 16:30,Chi Ma Wan,2.8,6/7/1981 12:30,0.92,7/7/1981 2:30,,,,,,,,,,,,,,,
Tropical Storm Roy ( Aug 1981 ),Tai Po Kau,1.7,7/8/1981 0:30,0.29,7/8/1981 6:15,,Tsim Bei Tsui,2.04,---,0.43,---,North Point,1.74,6/8/1981 12:45,0.17,7/8/1981 23:00,Chi Ma Wan,1.89,6/8/1981 12:15,0.27,7/8/1981 16:00,,,,,,,,,,
Typhoon Clara ( Sep 1981 ),Tai Po Kau,2.68,22/9/1981 4:08,0.74,22/9/1981 4:30,,Tsim Bei Tsui,2.66,---,0.77,---,North Point,2.66,22/9/1981 3:15,0.57,22/9/1981 15:30,Chi Ma Wan,2.7,22/9/1981 3:15,0.64,21/9/1981 15:30,,,,,,,,,,
Tropical Storm Tess ( Jun 1982 ),Tai Po Kau,2.21,28/6/1982 17:00,0.87,28/6/1982 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Severe Tropical Storm Winona ( Jul 1982 ),Tai Po Kau,2.02,17/7/1982 7:30,0.38,17/7/1982 8:30,,Tsim Bei Tsui,2.4,---,0.23,---,North Point,2.17,17/7/1982 5:45,0.29,17/7/1982 0:15,,,,,,,,,,,,,,,
Typhoon Andy ( Jul 1982 ),Tai Po Kau,1.98,30/7/1982 6:30,0.43,29/7/1982 19:00,,North Point,2.04,30/7/1982 5:15,0.27,29/7/1982 20:15,,,,,,,,,,,,,,,,,,,,
Typhoon Irving ( Sep 1982 ),Tai Po Kau,2.5,15/9/1982 8:30,0.57,12/9/1982 18:00,,Tsim Bei Tsui,2.74,---,0.8,---,North Point,2.45,15/9/1982 7:15,0.41,12/9/1982 16:00,,,,,,,,,,,,,,,
Typhoon Nancy ( Oct 1982 ),Tai Po Kau,2.43,16/10/1982 10:30,0.72,16/10/1982 23:00,,Tsim Bei Tsui,2.77,---,0.6,---,North Point,2.34,16/10/1982 9:45,0.44,16/10/1982 22:30,,,,,,,,,,,,,,,
Severe Tropical Storm Tip ( Jul 1983 ),Tai Po Kau,2.35,12/7/1983 11:30,0.48,12/7/1983 13:30,,North Point,2.53,12/7/1983 9:00,0.41,12/7/1983 14:45,,,,,,,,,,,,,,,,,,,,
Typhoon Vera ( Jul 1983 ),Tai Po Kau,2.05,16/7/1983 15:30,0.66,16/7/1983 17:00,,North Point,2.14,16/7/1983 12:15,0.5,16/7/1983 18:30,,,,,,,,,,,,,,,,,,,,
Typhoon Wayne ( Jul 1983 ),Tai Po Kau,2.04,24/7/1983 8:00,0.47,24/7/1983 12:00,,North Point,2.18,25/7/1983 8:15,0.14,24/7/1983 12:45,,,,,,,,,,,,,,,,,,,,
Typhoon  ( Sep 1983 )Ellen,Tai Po Kau,3.04,9/9/1983 7:30,1.74,9/9/1983 2:00,https://www.hko.gov.hk/en/informtc/no10/ellen/ellen.htm,Tsim Bei Tsui,3.62,9/9/1983 10:25,1.22,9/9/1983 10:00,Chi Ma Wan,3.05,9/9/1983 7:09,1.8,9/9/1983 5:30,Lok On Pai,3.25,9/9/1983 10:30,0.75,9/9/1983 10:30,,,,,,,,,,
Severe Tropical Storm Georgia ( Sep 1983 ),Tai Po Kau,2.58,30/9/1983 3:00,0.66,29/9/1983 14:00,,Tsim Bei Tsui,2.71,---,0.87,---,North Point,2.43,29/9/1983 23:15,0.64,30/9/1983 15:15,Chi Ma Wan,2.74,30/9/1983 1:30,0.69,29/9/1983 14:45,,,,,,,,,,
Typhoon Joe ( Oct 1983 ),Tai Po Kau,2.65,13/10/1983 1:30,0.62,12/10/1983 14:00,,Tsim Bei Tsui,2.74,---,0.7,---,North Point,2.66,13/10/1983 1:15,0.62,13/10/1983 4:15,Chi Ma Wan,2.7,13/10/1983 1:00,0.69,13/10/1983 14:15,,,,,,,,,,
Severe Tropical Storm Lex ( Oct 1983 ),Tai Po Kau,2.87,24/10/1983 23:30,0.87,24/10/1983 0:00,,Tsim Bei Tsui,3,---,0.52,---,North Point,2.81,24/10/1983 22:30,0.59,24/10/1983 23:45,Chi Ma Wan,2.85,24/10/1983 22:45,0.64,25/10/1983 12:30,,,,,,,,,,
Severe Tropical Storm Wynne ( Jun 1984 ),Tsim Bei Tsui,2.38,25/6/1984 9:30,0.88,25/6/1984 13:00,,Chi Ma Wan,2.54,25/6/1984 7:00,0.73,25/6/1984 4:00,Lok On Pai,2.35,25/6/1984 7:45,0.8,25/6/1984 11:30,,,,,,,,,,,,,,,
Severe Tropical Storm Betty ( Jul 1984 ),Tai Po Kau,2.06,9/7/1984 4:30,0.54,9/7/1984 20:00,,Tsim Bei Tsui,2.78,9/7/1984 8:00,0.62,9/7/1984 10:00,North Point,2.27,9/7/1984 6:00,0.45,9/7/1984 2:45,Chi Ma Wan,2.56,9/7/1984 5:15,0.65,9/7/1984 5:15,Lok On Pai,2.56,9/7/1984 5:45,0.52,9/7/1984 5:45,,,,,
Severe Tropical Storm Gerald ( Aug 1984 ),Tai Po Kau,2.13,21/8/1984 5:30,0.58,18/8/1984 15:00,,North Point,2.28,21/8/1984 3:15,0.44,18/8/1984 16:15,Lok On Pai,2.32,21/8/1984 3:30,0.53,18/8/1984 16:45,,,,,,,,,,,,,,,
Severe Tropical Storm June ( Aug 1984 ),Tai Po Kau,2.48,30/8/1984 12:50,0.73,31/8/1984 1:30,,North Point,2.54,30/8/1984 12:45,0.46,30/8/1984 21:15,Chi Ma Wan,2.63,30/8/1984 12:30,0.62,31/8/1984 1:00,Lok On Pai,2.7,30/8/1984 12:45,0.57,31/8/1984 2:30,,,,,,,,,,
Typhoon Ike ( Sep 1984 ),Tai Po Kau,2.24,5/9/1984 7:20,0.62,5/9/1984 8:00,,Chi Ma Wan,2.2,5/9/1984 5:15,0.21,5/9/1984 19:45,Lok On Pai,2.2,5/9/1984 5:05,0.4,5/9/1984 19:30,,,,,,,,,,,,,,,
Typhoon Hal ( Jun 1985 ),Tai Po Kau,2.79,23/6/1985 13:30,0.93,23/6/1985 13:30,,Tsim Bei Tsui,2.76,24/6/1985 14:00,0.77,23/6/1985 23:30,North Point,2.54,23/6/1985 12:15,0.75,25/6/1985 23:30,Lok On Pai,2.68,23/6/1985 13:45,0.7,23/6/1985 22:15,,,,,,,,,,
Tropical Depression No name ( Jul 1985 ),Tai Po Kau,1.92,8/7/1985 11:30,0.32,8/7/1985 15:30,,Tsim Bei Tsui,2.28,8/7/1985 14:00,0.33,8/7/1985 12:00,North Point,1.91,8/7/1985 11:15,0.04,8/7/1985 9:45,Lok On Pai,2.11,8/7/1985 12:45,0.19,8/7/1985 16:15,,,,,,,,,,
Typhoon Tess ( Sep 1985 ),Tai Po Kau,2.6,5/9/1985 22:30,0.96,5/9/1985 22:30,,Tsim Bei Tsui,2.76,6/9/1985 1:00,0.6,6/9/1985 0:30,North Point,2.26,5/9/1985 23:15,0.5,5/9/1985 22:15,Lok On Pai,2.51,6/9/1985 12:30,0.59,6/9/1985 5:15,,,,,,,,,,
Tropical Storm Val ( Sep 1985 ),Tai Po Kau,2.22,17/9/1985 12:00,0.39,17/9/1985 14:30,,Tsim Bei Tsui,2.54,17/9/1985 12:30,0.3,18/9/1985 3:00,North Point,2.07,17/9/1985 10:45,0.09,17/9/1985 20:45,Lok On Pai,2.29,17/9/1985 23:45,0.24,18/9/1985 1:30,,,,,,,,,,
Typhoon Dot ( Oct 1985 ),Quarry Bay,2.65,21/10/1985 2:45,0.49,21/10/1985 3:45,,Tai Po Kau,2.76,20/10/1985 2:00,0.68,21/10/1985 3:30,Tsim Bei Tsui,2.96,20/10/1985 2:00,1.05,21/10/1985 5:00,North Point,2.72,21/10/1985 2:40,0.49,21/10/1985 3:45,Lok On Pai,2.77,20/10/1985 1:00,0.7,21/10/1985 4:15,,,,,
Typhoon Peggy ( Jul 1986 ),Quarry Bay,2.78,11/7/1986 11:45,0.72,11/7/1986 14:00,,Tai Po Kau,2.77,11/7/1986 13:00,1.09,12/7/1986 15:00,Tsim Bei Tsui,3.5,12/7/1986 12:30,1.1,11/7/1986 22:00,Chi Ma Wan,2.7,11/7/1986 14:15,1.07,11/7/1986 15:45,Lok On Pai,2.77,11/7/1986 11:15,0.79,11/7/1986 22:45,,,,,
Tropical Depression No name ( Aug 1986 ),Quarry Bay,2.42,10/8/1986 12:30,0.58,10/8/1986 14:45,,Tai Po Kau,2.48,10/8/1986 13:00,0.73,10/8/1986 8:30,Tsim Bei Tsui,2.94,10/8/1986 13:00,1.4,9/8/1986 21:00,Lok On Pai,2.55,10/8/1986 12:45,0.65,10/8/1986 15:15,,,,,,,,,,
Typhoon Wayne(1) ( Aug 1986 ),Quarry Bay,2.61,20/8/1986 8:45,0.35,20/8/1986 7:00,,Tai Po Kau,2.61,20/8/1986 10:30,0.65,20/8/1986 6:00,Tsim Bei Tsui,3.31,20/8/1986 10:30,1.11,19/8/1986 12:00,Chi Ma Wan,2.68,20/8/1986 9:30,0.28,19/8/1986 11:15,Lok On Pai,2.86,20/8/1986 9:30,0.53,19/8/1986 11:30,,,,,
Typhoon Wayne(2) ( Aug 1986 ),Quarry Bay,2.16,26/8/1986 1:00,0.45,25/8/1986 21:00,,Tai Po Kau,2.05,25/8/1986 21:30,0.67,25/8/1986 21:00,Tsim Bei Tsui,2.59,26/8/1986 1:30,0.85,26/8/1986 15:15,Chi Ma Wan,2.16,26/8/1986 1:30,0.37,25/8/1986 21:15,Lok On Pai,2.26,26/8/1986 1:45,0.47,25/8/1986 21:30,,,,,
Typhoon Wayne(3) ( Sep 1986 ),Quarry Bay,2.6,4/9/1986 9:45,0.56,5/9/1986 6:30,,Tai Po Kau,2.72,5/9/1986 7:30,0.81,5/9/1986 7:30,Tsim Bei Tsui,3.2,5/9/1986 10:00,0.81,5/9/1986 14:15,Chi Ma Wan,2.53,4/9/1986 7:45,0.63,5/9/1986 7:15,Lok On Pai,2.73,4/9/1986 10:15,0.62,5/9/1986 0:15,,,,,
Typhoon Ellen ( Oct 1986 ),Quarry Bay,2.31,16/10/1986 8:30,0.34,17/10/1986 17:45,,Tai Po Kau,2.45,17/10/1986 22:30,0.57,17/10/1986 18:00,Lok On Pai,2.42,17/10/1986 9:30,0.33,16/10/1986 23:15,,,,,,,,,,,,,,,
Tropical Storm Ruth ( Jun 1987 ),Quarry Bay,2.35,18/6/1987 14:23,0.51,18/6/1987 23:30,,Tsim Bei Tsui,2.43,18/6/1987 16:15,0.46,18/6/1987 1:15,Lok On Pai,2.44,18/6/1987 14:58,0.43,18/6/1987 21:45,,,,,,,,,,,,,,,
Typhoon Betty ( Aug 1987 ),Quarry Bay,2.01,14/8/1987 12:53,0.43,14/8/1987 22:30,,Tai Po Kau,2.08,14/8/1987 13:45,0.78,14/8/1987 21:45,Tsim Bei Tsui,2.16,14/8/1987 13:45,0.35,15/8/1987 0:45,Waglan Island,2.04,14/8/1987 1:09,0.33,14/8/1987 9:30,Lok On Pai,2.11,14/8/1987 13:30,0.3,14/8/1987 22:45,,,,,
Typhoon Cary ( Aug 1987 ),Quarry Bay,2.21,21/8/1987 5:30,0.28,20/8/1987 19:45,,Tai Po Kau,2.19,21/8/1987 5:15,0.49,21/8/1987 17:15,Tsim Bei Tsui,2.26,21/8/1987 8:08,0.55,20/8/1987 20:00,Waglan Island,2.16,20/8/1987 5:11,0.09,20/8/1987 8:45,Lok On Pai,2.26,21/8/1987 7:05,0.41,20/8/1987 19:30,,,,,
Typhoon Gerald ( Sep 1987 ),Quarry Bay,2.53,9/9/1987 10:45,0.38,10/9/1987 12:30,,Tai Po Kau,2.57,9/9/1987 10:15,0.83,9/9/1987 6:00,Tsim Bei Tsui,2.6,10/9/1987 12:45,0.33,9/9/1987 17:00,Chi Ma Wan,2.42,10/9/1987 11:06,0.43,10/9/1987 13:00,Lok On Pai,2.65,9/9/1987 11:15,0.41,10/9/1987 14:00,,,,,
Typhoon Lynn ( Oct 1987 ),Quarry Bay,3.06,25/10/1987 23:08,0.72,26/10/1987 0:00,,Tai Po Kau,3.09,25/10/1987 22:54,0.87,25/10/1987 17:30,Tsim Bei Tsui,2.91,26/10/1987 0:37,0.6,26/10/1987 9:00,Waglan Island,2.74,25/10/1987 22:16,0.56,26/10/1987 4:45,Lok On Pai,2.99,25/10/1987 23:30,0.72,26/10/1987 2:00,,,,,
Typhoon Susan ( May 1988 ),Quarry Bay,2.61,1/6/1988 8:07,0.37,31/5/1988 10:45,,Tsim Bei Tsui,2.95,1/6/1988 10:05,0.92,31/5/1988 15:00,Waglan Island,2.61,1/6/1988 8:56,0.45,1/6/1988 12:30,Lok On Pai,2.64,31/5/1988 8:39,0.57,31/5/1988 13:00,Tai O,2.71,1/6/1988 9:21,0.4,31/5/1988 10:30,,,,,
Tropical Storm Vanessa ( Jun 1988 ),Quarry Bay,2.39,29/6/1988 6:45,0.15,29/6/1988 12:45,,Tai Po Kau,2.17,29/6/1988 6:47,0.31,29/6/1988 4:30,Tsim Bei Tsui,2.85,29/6/1988 9:00,0.58,29/6/1988 16:00,Lok On Pai,2.49,29/6/1988 8:11,0.34,29/6/1988 13:00,Tai O,2.51,29/6/1988 8:21,0.19,29/6/1988 10:00,,,,,
Typhoon Warren ( Jul 1988 ),Quarry Bay,2.18,19/7/1988 11:25,0.31,19/7/1988 9:30,,Tai Po Kau,2.13,19/7/1988 1:07,0.67,19/7/1988 21:30,Tsim Bei Tsui,2.56,18/7/1988 12:24,1.09,20/7/1988 0:45,Lok On Pai,2.21,19/7/1988 11:57,0.42,19/7/1988 23:45,Tai O,2.31,19/7/1988 12:21,0.34,19/7/1988 23:45,Ko Lau Wan,2.26,19/7/1988 13:13,0.63,19/7/1988 8:30
Typhoon Kit ( Sep 1988 ),Quarry Bay,2.46,22/9/1988 5:50,0.32,21/9/1988 18:00,,Tai Po Kau,2.53,22/9/1988 5:25,0.82,21/9/1988 18:15,Tsim Bei Tsui,2.44,22/9/1988 7:22,0.71,21/9/1988 18:45,Lok On Pai,2.5,22/9/1988 5:45,0.78,21/9/1988 18:15,Ko Lau Wan,2.5,22/9/1988 5:01,0.85,21/9/1988 18:00,,,,,
Typhoon Pat ( Oct 1988 ),Quarry Bay,2.62,22/10/1988 6:36,0.51,22/10/1988 13:30,,Tai Po Kau,2.54,22/10/1988 7:13,0.82,22/10/1988 14:30,Tsim Bei Tsui,2.75,22/10/1988 8:12,0.55,22/10/1988 16:45,Lok On Pai,2.61,22/10/1988 7:06,0.58,22/10/1988 11:00,Ko Lau Wan,2.62,22/10/1988 7:04,0.62,22/10/1988 14:15,,,,,
Typhoon Ruby ( Oct 1988 ),Quarry Bay,3.13,26/10/1988 22:13,0.68,26/10/1988 22:15,,Tai Po Kau,3.22,27/10/1988 23:03,1.13,27/10/1988 18:15,Tsim Bei Tsui,3.21,26/10/1988 23:44,0.75,26/10/1988 20:00,Lok On Pai,3.03,26/10/1988 22:19,0.73,27/10/1988 2:00,Ko Lau Wan,3.15,26/10/1988 21:56,0.99,27/10/1988 18:00,,,,,
Typhoon Brenda ( May 1989 )Ko Lau Wan,Quarry Bay,2.79,20/5/1989 8:28,0.88,20/5/1989 14:45,,Tai Po Kau,2.74,20/5/1989 10:08,1,20/5/1989 17:45,Tsim Bei Tsui,2.86,20/5/1989 9:32,1.09,20/5/1989 20:15,Chi Ma Wan,2.75,20/5/1989 9:32,0.91,20/5/1989 11:45,Lok On Pai,2.72,20/5/1989 9:37,0.85,20/5/1989 18:15,Tai O,2.78,20/5/1989 9:08,0.82,20/5/1989 18:45
Typhoon Dot ( Jun 1989 )Ko Lau Wan,Quarry Bay,2.24,8/6/1989 10:33,0.22,10/6/1989 11:30,,Tai Po Kau,2.22,8/6/1989 9:03,0.48,9/6/1989 20:15,Tsim Bei Tsui,2.58,8/6/1989 12:04,0.47,9/6/1989 1:15,Chi Ma Wan,2.22,8/6/1989 11:51,0.25,9/6/1989 22:30,Lok On Pai,2.32,8/6/1989 11:54,0.2,10/6/1989 0:00,Tai O,2.26,8/6/1989 11:51,0.21,10/6/1989 12:15
Severe Tropical Storm Faye ( Jul 1989 )Tai O,Quarry Bay,1.84,9/7/1989 11:00,0.31,10/7/1989 6:00,,Tai Po Kau,1.88,10/7/1989 10:55,0.38,10/7/1989 9:30,Tsim Bei Tsui,2.11,9/7/1989 13:49,0.4,10/7/1989 2:15,Waglan Island,1.85,10/7/1989 11:48,0.37,10/7/1989 18:00,Chi Ma Wan,1.88,10/7/1989 12:32,0.37,10/7/1989 17:00,Lok On Pai,1.87,10/7/1989 12:59,0.28,10/7/1989 18:15
Typhoon Gordon ( Jul 1989 )Ko Lau Wan,Quarry Bay,3.27,18/7/1989 6:10,1.2,18/7/1989 3:24,,Tai Po Kau,3.31,18/7/1989 6:51,1.36,18/7/1989 3:15,Tsim Bei Tsui,3.73,18/7/1989 8:16,1.11,18/7/1989 7:30,Chi Ma Wan,3.33,18/7/1989 6:16,1.16,18/7/1989 0:30,Lok On Pai,3.29,18/7/1989 7:22,0.98,18/7/1989 2:45,Tai O,3.5,18/7/1989 7:19,1.29,18/7/1989 6:42
Typhoon Brian ( Oct 1989 )Tai O,Quarry Bay,2.52,1/10/1989 22:44,0.48,2/10/1989 4:55,,Tai Po Kau,2.5,1/10/1989 22:17,0.53,2/10/1989 10:19,Tsim Bei Tsui,2.64,2/10/1989 23:58,0.46,1/10/1989 20:54,Waglan Island,2.53,1/10/1989 21:15,0.62,2/10/1989 6:00,Chi Ma Wan,2.5,1/10/1989 22:17,0.6,2/10/1989 0:50,Lok On Pai,2.54,1/10/1989 22:46,0.51,2/10/1989 0:56
Typhoon Angela ( Oct 1989 )Tai O,Quarry Bay,2.7,9/10/1989 3:23,0.58,8/10/1989 15:24,,Tai Po Kau,2.65,9/10/1989 2:44,0.55,8/10/1989 20:56,Tsim Bei Tsui,2.6,9/10/1989 4:30,0.85,9/10/1989 18:56,Waglan Island,2.76,9/10/1989 2:55,0.69,9/10/1989 17:15,Chi Ma Wan,2.66,9/10/1989 3:44,0.7,9/10/1989 17:28,Lok On Pai,2.61,9/10/1989 3:55,0.76,9/10/1989 18:23
Typhoon Dan ( Oct 1989 ),Quarry Bay,2.5,13/10/1989 7:34,0.38,12/10/1989 14:16,,Tai Po Kau,2.58,13/10/1989 7:24,0.59,13/10/1989 3:26,Chi Ma Wan,2.51,13/10/1989 7:37,0.38,12/10/1989 9:51,Lok On Pai,2.51,13/10/1989 8:08,0.33,12/10/1989 14:47,Tai O,2.51,13/10/1989 8:39,0.39,13/10/1989 5:24,Ko Lau Wan,2.6,13/10/1989 7:45,0.69,13/10/1989 3:51
